Month,Boohoo,Charity Shop,Search_Type
2008-01,0,0,Youtube 
2008-02,0,0,Youtube 
2008-03,0,0,Youtube 
2008-04,0,0,Youtube 
2008-05,0,0,Youtube 
2008-06,0,0,Youtube 
2008-07,0,0,Youtube 
2008-08,0,0,Youtube 
2008-09,0,0,Youtube 
2008-10,0,0,Youtube 
2008-11,0,0,Youtube 
2008-12,0,0,Youtube 
2009-01,0,0,Youtube 
2009-02,0,0,Youtube 
2009-03,0,0,Youtube 
2009-04,0,0,Youtube 
2009-05,0,0,Youtube 
2009-06,0,0,Youtube 
2009-07,0,0,Youtube 
2009-08,0,0,Youtube 
2009-09,0,0,Youtube 
2009-10,0,0,Youtube 
2009-11,0,0,Youtube 
2009-12,0,0,Youtube 
2010-01,0,0,Youtube 
2010-02,0,0,Youtube 
2010-03,0,0,Youtube 
2010-04,0,0,Youtube 
2010-05,0,0,Youtube 
2010-06,0,0,Youtube 
2010-07,0,0,Youtube 
2010-08,0,0,Youtube 
2010-09,0,0,Youtube 
2010-10,0,0,Youtube 
2010-11,0,0,Youtube 
2010-12,0,0,Youtube 
2011-01,0,0,Youtube 
2011-02,0,0,Youtube 
2011-03,0,0,Youtube 
2011-04,0,0,Youtube 
2011-05,0,15,Youtube 
2011-06,0,0,Youtube 
2011-07,0,0,Youtube 
2011-08,0,0,Youtube 
2011-09,0,7,Youtube 
2011-10,16,7,Youtube 
2011-11,0,17,Youtube 
2011-12,0,0,Youtube 
2012-01,0,0,Youtube 
2012-02,0,0,Youtube 
2012-03,11,12,Youtube 
2012-04,0,14,Youtube 
2012-05,10,9,Youtube 
2012-06,12,0,Youtube 
2012-07,0,0,Youtube 
2012-08,10,15,Youtube 
2012-09,0,14,Youtube 
2012-10,10,12,Youtube 
2012-11,0,0,Youtube 
2012-12,0,14,Youtube 
2013-01,10,14,Youtube 
2013-02,11,16,Youtube 
2013-03,11,15,Youtube 
2013-04,11,17,Youtube 
2013-05,13,16,Youtube 
2013-06,19,16,Youtube 
2013-07,12,15,Youtube 
2013-08,30,11,Youtube 
2013-09,35,14,Youtube 
2013-10,33,15,Youtube 
2013-11,30,11,Youtube 
2013-12,17,0,Youtube 
2014-01,14,0,Youtube 
2014-02,0,0,Youtube 
2014-03,46,20,Youtube 
2014-04,34,0,Youtube 
2014-05,29,14,Youtube 
2014-06,28,0,Youtube 
2014-07,15,12,Youtube 
2014-08,44,14,Youtube 
2014-09,28,0,Youtube 
2014-10,20,0,Youtube 
2014-11,30,0,Youtube 
2014-12,21,0,Youtube 
2015-01,14,0,Youtube 
2015-02,34,25,Youtube 
2015-03,27,0,Youtube 
2015-04,32,0,Youtube 
2015-05,40,0,Youtube 
2015-06,41,13,Youtube 
2015-07,33,0,Youtube 
2015-08,41,18,Youtube 
2015-09,35,0,Youtube 
2015-10,46,12,Youtube 
2015-11,38,0,Youtube 
2015-12,24,13,Youtube 
2016-01,26,0,Youtube 
2016-02,31,0,Youtube 
2016-03,41,17,Youtube 
2016-04,61,0,Youtube 
2016-05,40,0,Youtube 
2016-06,47,0,Youtube 
2016-07,58,0,Youtube 
2016-08,37,26,Youtube 
2016-09,49,21,Youtube 
2016-10,36,15,Youtube 
2016-11,51,0,Youtube 
2016-12,29,0,Youtube 
2017-01,46,26,Youtube 
2017-02,32,18,Youtube 
2017-03,27,0,Youtube 
2017-04,33,0,Youtube 
2017-05,30,0,Youtube 
2017-06,43,19,Youtube 
2017-07,43,0,Youtube 
2017-08,52,20,Youtube 
2017-09,42,16,Youtube 
2017-10,46,16,Youtube 
2017-11,51,15,Youtube 
2017-12,43,16,Youtube 
2018-01,43,20,Youtube 
2018-02,55,19,Youtube 
2018-03,61,16,Youtube 
2018-04,60,20,Youtube 
2018-05,72,15,Youtube 
2018-06,65,18,Youtube 
2018-07,74,17,Youtube 
2018-08,66,20,Youtube 
2018-09,59,15,Youtube 
2018-10,59,18,Youtube 
2018-11,62,17,Youtube 
2018-12,51,13,Youtube 
2019-01,47,18,Youtube 
2019-02,49,25,Youtube 
2019-03,58,21,Youtube 
2019-04,63,22,Youtube 
2019-05,55,26,Youtube 
2019-06,65,18,Youtube 
2019-07,64,24,Youtube 
2019-08,64,21,Youtube 
2019-09,48,27,Youtube 
2019-10,60,36,Youtube 
2019-11,35,84,Youtube 
2019-12,44,59,Youtube 
2020-01,39,77,Youtube 
2020-02,60,55,Youtube 
2020-03,53,84,Youtube 
2020-04,69,89,Youtube 
2020-05,57,66,Youtube 
2020-06,46,59,Youtube 
2020-07,49,69,Youtube 
2020-08,52,70,Youtube 
2020-09,39,60,Youtube 
2020-10,37,55,Youtube 
2020-11,41,63,Youtube 
2020-12,36,66,Youtube 
2021-01,44,41,Youtube 
2021-02,49,39,Youtube 
2021-03,42,30,Youtube 
2021-04,38,39,Youtube 
2021-05,38,60,Youtube 
2021-06,40,55,Youtube 
2021-07,43,45,Youtube 
2021-08,40,68,Youtube 
2021-09,35,59,Youtube 
2021-10,40,68,Youtube 
2021-11,37,100,Youtube 
2021-12,34,64,Youtube 
2022-01,30,49,Youtube 
2022-02,34,42,Youtube 
2022-03,35,43,Youtube 
2022-04,25,38,Youtube 
2022-05,33,45,Youtube 
2022-06,37,39,Youtube 
2022-07,30,56,Youtube 
2022-08,28,45,Youtube 
2022-09,32,83,Youtube 
2022-10,30,49,Youtube 
2022-11,29,38,Youtube 
2022-12,28,34,Youtube 
2023-01,23,39,Youtube 
2023-02,21,30,Youtube 
2023-03,24,32,Youtube 
2023-04,23,34,Youtube 
2023-05,25,40,Youtube 
2023-06,23,46,Youtube 
2023-07,17,38,Youtube 
2023-08,18,28,Youtube 
2023-09,17,28,Youtube 
2023-10,17,28,Youtube 
2023-11,18,27,Youtube 
2023-12,16,36,Youtube 
2024-01,16,45,Youtube 
2024-02,12,34,Youtube 
2024-03,15,36,Youtube 
2024-04,14,35,Youtube 
2024-05,13,28,Youtube 
2024-06,15,32,Youtube 
2024-07,14,34,Youtube 
2024-08,14,43,Youtube 
2024-09,13,38,Youtube 
2024-10,17,36,Youtube 
2024-11,17,35,Youtube 
2024-12,13,33,Youtube 
2025-01,11,37,Youtube 
2025-02,11,40,Youtube 
